Era,Feature,Base,Lag,r,p,sig,n,target
ZLB,finbert_MP_mean:lag4,finbert_MP_mean,4,0.2849,0.0047,**,97,shadow_diff
ZLB,finbert_MP_mean:lag5,finbert_MP_mean,5,0.0445,0.6654,,97,shadow_diff
ZLB,finbert_MP_mean:lag6,finbert_MP_mean,6,0.1857,0.0686,,97,shadow_diff
ZLB,finbert_MP_mean:lag7,finbert_MP_mean,7,0.1431,0.1619,,97,shadow_diff
ZLB,finbert_MP_mean:lag8,finbert_MP_mean,8,0.0846,0.4101,,97,shadow_diff
ZLB,finbert_MP_mean:lag9,finbert_MP_mean,9,0.2391,0.0183,*,97,shadow_diff
ZLB,finbert_MP_mean:lag10,finbert_MP_mean,10,0.2273,0.0252,*,97,shadow_diff
ZLB,finbert_MP_mean:lag11,finbert_MP_mean,11,0.3055,0.0023,**,97,shadow_diff
ZLB,finbert_MP_mean:lag12,finbert_MP_mean,12,0.2394,0.0182,*,97,shadow_diff
ZLB,finbert_MP_mean:lag13,finbert_MP_mean,13,0.0645,0.5304,,97,shadow_diff
ZLB,finbert_MP_mean:lag14,finbert_MP_mean,14,0.0251,0.8074,,97,shadow_diff
ZLB,finbert_MP_mean:lag15,finbert_MP_mean,15,0.2365,0.0197,*,97,shadow_diff
ZLB,roberta_IS_EP_max:lag1,roberta_IS_EP_max,1,0.0761,0.4586,,97,shadow_diff
ZLB,roberta_IS_EP_max:lag2,roberta_IS_EP_max,2,0.0712,0.4883,,97,shadow_diff
ZLB,roberta_IS_EP_max:lag3,roberta_IS_EP_max,3,0.0291,0.7773,,97,shadow_diff
ZLB,roberta_IS_EP_max:lag4,roberta_IS_EP_max,4,0.1389,0.1748,,97,shadow_diff
ZLB,roberta_IS_EP_max:lag5,roberta_IS_EP_max,5,-0.1101,0.2829,,97,shadow_diff
ZLB,roberta_IS_EP_max:lag6,roberta_IS_EP_max,6,-0.0964,0.3474,,97,shadow_diff
ZLB,roberta_IS_EP_max:lag7,roberta_IS_EP_max,7,-0.0348,0.7354,,97,shadow_diff
ZLB,roberta_IS_EP_max:lag8,roberta_IS_EP_max,8,-0.0364,0.7234,,97,shadow_diff
ZLB,roberta_IS_EP_max:lag9,roberta_IS_EP_max,9,0.123,0.2302,,97,shadow_diff
ZLB,roberta_IS_EP_max:lag10,roberta_IS_EP_max,10,0.1137,0.2673,,97,shadow_diff
ZLB,roberta_IS_EP_max:lag11,roberta_IS_EP_max,11,0.0616,0.5491,,97,shadow_diff
ZLB,roberta_IS_EP_max:lag12,roberta_IS_EP_max,12,0.093,0.3647,,97,shadow_diff
ZLB,roberta_IS_EP_max:lag13,roberta_IS_EP_max,13,0.0598,0.5605,,97,shadow_diff
